Time (s),W,X,Y,Z
8.400359154,-0.01003537,0.821785,0.5655736,0.03637021
8.420372009,-0.008621041,0.8222933,0.5649512,0.034887
8.440384388,-0.007998393,0.822878,0.5641243,0.03463162
8.460397720,-0.00797475,0.8235314,0.5632034,0.03408588
8.480410099,-0.006523358,0.824105,0.5624215,0.03343939
8.500423431,-0.005305998,0.8248954,0.5612349,0.03409767
8.520435810,-0.004226591,0.8256432,0.5600629,0.03539075
8.540449142,-0.003390257,0.8265527,0.5586649,0.03633741
8.560461521,-0.002397415,0.8275203,0.5571791,0.03719741
8.580474377,-0.00143186,0.8285478,0.5555841,0.03821858
8.600486755,-0.0006076899,0.8297861,0.5536095,0.03998468
8.620500088,0.0002921894,0.8309189,0.5517362,0.04229132
